@W: CG360 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":1514:8:1514:52|Removing wire IBusSimplePlugin_iBusRsp_stages_1_inputSample, as there is no assignment to it.
@W: CG360 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":1522:8:1522:52|Removing wire IBusSimplePlugin_iBusRsp_stages_2_inputSample, as there is no assignment to it.
@W: CG360 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":1609:8:1609:46|Removing wire IBusSimplePlugin_rspJoin_fetchRsp_isRvc, as there is no assignment to it.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register _zz_122_. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register _zz_124_. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_injector_formal_rawInDecode[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_historyWriteLast_payload_data_source[20:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_historyWriteLast_payload_data_branchWish[1:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_historyWriteLast_payload_data_target[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_fetchContext_regNextWhen_line_source[20:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_fetchContext_regNextWhen_line_target[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_fetchContext_regNextWhen_delay_1_line_source[20:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register IBusSimplePlugin_predictor_fetchContext_regNextWhen_delay_1_line_target[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register CsrPlugin_mcycle[63:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register CsrPlugin_minstret[63:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register decode_to_execute_PREDICTION_CONTEXT_line_source[20:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register decode_to_execute_PREDICTION_CONTEXT_line_target[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register execute_to_memory_PREDICTION_CONTEXT_line_source[20:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register execute_to_memory_PREDICTION_CONTEXT_line_target[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register decode_to_execute_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register execute_to_memory_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
@W: CL169 :"D:\pro\hdl\riscvSoftcoreContest\hardware\netlist\Igloo2PerfCreative.v":4571:2:4571:7|Pruning unused register memory_to_writeBack_FORMAL_PC_NEXT[31:0]. Make sure that there are no unused intermediate registers.
